district,lon,lat,soc_0_30_tC_per_ha,ndvi,c_input_retain_tC_per_ha,c_input_burn_tC_per_ha,c_input_fym_tC_per_ha
Ludhiana,75.40077538466143,30.99887710589485,29.0,0.6552420563040285,1.9538313096721571,0.9378390286426354,2.803831309672157
Ludhiana,75.45841495956374,30.99887710589485,30.0,0.4827250103567334,1.0049875569620337,0.48239402734177617,1.8549875569620338
Ludhiana,75.51605453446606,30.99887710589485,32.0,0.5226256130942868,1.2244408720185773,0.5877316185689171,2.0744408720185774
Ludhiana,75.57369410936836,30.99887710589485,28.0,0.5526013026397206,1.3893071645184636,0.6668674389688625,2.2393071645184635
Ludhiana,75.6313336842707,30.99887710589485,32.0,0.4568861577099409,0.862873867404675,0.41417945635424397,1.7128738674046748
Ludhiana,75.688973259173,30.99887710589485,30.0,0.5201652458324759,1.2109088520786175,0.5812362489977364,2.0609088520786174
Ludhiana,75.80425240897765,30.99887710589485,31.0,0.5199287691313655,1.2096082302225106,0.580611950506805,2.0596082302225107
Ludhiana,75.91953155878228,30.99887710589485,32.0,0.3796220554923664,0.4379213052080152,0.3,1.2879213052080152
Ludhiana,75.97717113368459,30.99887710589485,37.0,0.6014126404530795,1.6577695224919373,0.7957293707961299,2.5077695224919374
Ludhiana,76.09245028348921,30.99887710589485,33.0,0.568039881273564,1.4742193470046019,0.7076252865622089,2.3242193470046018
Ludhiana,76.15008985839154,30.99887710589485,31.0,0.46996568208265926,0.9348112514546261,0.4487094006982205,1.784811251454626
Ludhiana,76.20772943329385,30.99887710589485,32.0,0.5062761391043423,1.1345187650738828,0.5445690072354638,1.984518765073883
Ludhiana,76.26536900819616,30.99887710589485,33.0,0.5604239499357402,1.432331724646571,0.687519227830354,2.282331724646571
Ludhiana,76.32300858309848,30.99887710589485,35.0,0.49909148678466825,1.0950031773156754,0.5256015251115241,1.9450031773156753
Ludhiana,76.3806481580008,30.99887710589485,38.0,0.5005800737061963,1.1031904053840795,0.5295313945843582,1.9531904053840794
Ludhiana,75.37728176319087,30.949469765268276,29.0,0.40374068700073673,0.5705737785040521,0.3,1.420573778504052
